Nombre;Líneas/Category/Nombre;Líneas/Producto/Nombre;Líneas/Cantidad;Líneas/Fórmula;Líneas/Secuencia
T1R Residencial;Servicios de Energía;Cuota Extraordinaria Dec 3142/07 - Resolución 604/07 T1R;1.0;unit_price*10.00;108
T1AP Alumbrado Publico;Servicios de Energía;Cargo Fijo T1AP;;unit_price*20.75;1
T1AP Alumbrado Publico;Servicios de Energía;Cargo Variable T1AP;;unit_price*0.3045;2
T1AP Alumbrado Publico;Servicios de Energía;Cargo Variable T1AP Sin Subsidio;;unit_price*0.6112;3
T1AP Alumbrado Publico;Servicios de Energía;Resta Cargo Variable T1AP Sin Subsidio;;unit_price*-0.6112;4
T1AP Alumbrado Publico;Servicios de Energía;Incremento Costo Mayorista T1AP;;unit_price*0.00448;5
T1AP Alumbrado Publico;Servicios de Energía;Resolución 705 T1AP;;unit_price*0.0230;6
T1AP Alumbrado Publico;Servicios de Energía;Conexión Aerea-Monofasica T1AP;;unit_price*141.4050;7
T1AP Alumbrado Publico;Servicios de Energía;Conexión Aerea-Trifasica T1AP;;unit_price*430.4550;8
T1AP Alumbrado Publico;Servicios de Energía;Conexión Subterranea-Monofasica T1AP;;unit_price*430.4550;9
T1AP Alumbrado Publico;Servicios de Energía;Conexión Subterranea-Trifasica T1AP;;unit_price*570.3450;10
T1AP Alumbrado Publico;Servicios de Energía;Rehabilitacion T1AP;;unit_price*74.7150;11
T1AP Alumbrado Publico;Servicios de Energía;Desconexión Directa T1AP;;unit_price*74.7150;12
T1GBC Servicio General Bajo Consumo;Servicios de Energía;Cargo Fijo T1GBC;;20.75;1
T1GBC Servicio General Bajo Consumo;Servicios de Energía;Cargo Variable T1GBC;;unit_price*0.4709;2
T1GBC Servicio General Bajo Consumo;Servicios de Energía;Incremento Costo Mayorista T1GBC;;unit_price*0.0515;3
T1GBC Servicio General Bajo Consumo;Servicios de Energía;RES MI 206/13 T1GBC;;unit_price*20.00;4
T1GBC Servicio General Bajo Consumo;Servicios de Energía;Cargo Perdida Transformador T1GBC;;unit_price*0.4709;5
T1GBC Servicio General Bajo Consumo;Servicios de Energía;Cargo Variable T1GBC Sin Subsidio;;unit_price*0.7621;6
T1GBC Servicio General Bajo Consumo;Servicios de Energía;Resta Cargo Variable T1GBC Sin Subsidio;;unit_price*-0.7621;7
T1GBC Servicio General Bajo Consumo;Servicios de Energía;Conexión Aerea-Monofasica T1GBC;;unit_price*141.4050;8
T1GBC Servicio General Bajo Consumo;Servicios de Energía;Conexión Aerea-Trifasica T1GBC;;unit_price*430.4550;9
T1GBC Servicio General Bajo Consumo;Servicios de Energía;Conexión Subterranea-Monofasica T1GBC;;unit_price*430.4550;10
T1GBC Servicio General Bajo Consumo;Servicios de Energía;Conexión Subterranea-Trifasica T1GBC;;unit_price*570.3450;11
T1GBC Servicio General Bajo Consumo;Servicios de Energía;Rehabilitacion T1GBC;;unit_price*74.7150;12
T1GBC Servicio General Bajo Consumo;Servicios de Energía;Desconexion Directa T1GBC;;unit_price*74.7150;13
T1GBC Servicio General Bajo Consumo;Servicios de Energía;Plan Municipal de AP Ord. 3000/10;;unit_price*10.00;14
T1GBC Servicio General Bajo Consumo;Servicios de Energía;Res. Asamblea 30/12/04 T1GBC Cuota Capital ;;unit_price*75.00;15
T1GBC Servicio General Bajo Consumo;Servicios de Energía;Cuota Extraordinaria Dec 3142/07 - Resolución 604/07 T1GBC;;unit_price*10.00;16
T1GAC Servicio General Alto Consumo;Servicios de Energía;Cargo Fijo T1GAC;;unit_price*110.11;1
